,target,feature,weight,,,,,Sno.,target,feature,weight
109,cajun_creole,thyme,5.179413766,,,,,,,,
110,cajun_creole,mortadella,5.167299978,,,,,,,,
111,cajun_creole,seasoning,5.059415949,,,,,,,,
112,cajun_creole,yeast,5.018503605,,,,,,,,
113,cajun_creole,cayenne,5.010993454,,,,,,,,
114,cajun_creole,evaporated,4.829857177,,,,,,,,
115,cajun_creole,oregano,4.741588211,,,,,,,,
116,cajun_creole,littleneck,4.606786993,,,,,,,,
117,cajun_creole,pepper,4.566279013,,,,,,,,
118,cajun_creole,blackening,4.541138844,,,,,,,,
119,cajun_creole,provolone,4.485788419,,,,,,,,
120,cajun_creole,sausage,4.353992667,,,,,,,,
121,cajun_creole,powdered,4.298786198,,,,,,,,
122,cajun_creole,sanding,4.291012295,,,,,,,,
123,cajun_creole,redfish,4.283506726,,,,,,,,
124,cajun_creole,jambalaya,4.252242059,,,,,,,,
125,cajun_creole,salami,4.200350927,,,,,,,,
126,cajun_creole,praline,4.18256249,,,,,,,,
127,cajun_creole,eyed,4.0523851,,,,,,,,
128,cajun_creole,dip,4.035481325,,,,,,,,
129,cajun_creole,chicory,4.031846279,,,,,,,,
130,cajun_creole,curaçao,4.016782647,,,,,,,,
131,cajun_creole,mirlitons,3.998508389,,,,,,,,
132,cajun_creole,bay,3.962217993,,,,,,,,
133,cajun_creole,husk,3.957310349,,,,,,,,
134,cajun_creole,boudin,3.903330666,,,,,,,,
135,cajun_creole,gin,3.891839793,,,,,,,,
136,cajun_creole,iron,3.784466601,,,,,,,,
137,cajun_creole,kidney,3.763873655,,,,,,,,
138,cajun_creole,tortellini,3.669543588,,,,,,,,
139,cajun_creole,lump,3.639366821,,,,,,,,
140,cajun_creole,pompano,3.630543406,,,,,,,,
141,cajun_creole,rum,3.625192994,,,,,,,,
142,cajun_creole,round,3.491470837,,,,,,,,
143,cajun_creole,worcestershire,3.479204869,,,,,,,,
144,cajun_creole,cucumber,-3.91668895,,,,,,,,
145,cajun_creole,vinegar,-3.980093264,,,,,,,,
146,cajun_creole,carrot,-3.986939353,,,,,,,,
147,cajun_creole,curry,-4.704914846,,,,,,,,
148,cajun_creole,ginger,-4.930156944,,,,,,,,
149,cajun_creole,soy,-5.70655666,,,,,,,,
150,chinese,soy,8.255396708,,,,,,,,
151,chinese,ginger,7.730192599,,,,,,,,
152,chinese,mandarin,7.637786633,,,,,,,,
153,chinese,szechwan,7.570745946,,,,,,,,
