,target,feature,weight,,,,,,,,,
106,cajun_creole,sausage,1.441125938,,,,,,,,,
107,cajun_creole,mirlitons,1.433649538,,,,,,,,,
108,cajun_creole,thyme,1.314773612,,,,,,,,,
109,cajun_creole,shrimp,1.287549335,,,,,,,,,
110,cajun_creole,redfish,1.203193863,,,,,,,,,
111,cajun_creole,catfish,1.190279683,,,,,,,,,
112,cajun_creole,cayenne,1.169090098,,,,,,,,,
113,cajun_creole,blackening,1.109359384,,,,,,,,,
114,cajun_creole,boudin,1.079284537,,,,,,,,,
115,cajun_creole,jambalaya,0.999396948,,,,,,,,,
116,cajun_creole,file,0.980171602,,,,,,,,,
117,cajun_creole,roux,0.972578939,,,,,,,,,
118,cajun_creole,pepper,0.95994061,,,,,,,,,
119,cajun_creole,mortadella,0.928346877,,,,,,,,,
120,cajun_creole,poblano,0.918860747,,,,,,,,,
121,cajun_creole,oregano,0.901171555,,,,,,,,,
122,cajun_creole,gumbo,0.886196114,,,,,,,,,
123,cajun_creole,yeast,0.878521875,,,,,,,,,
124,cajun_creole,seasoning,0.872618603,,,,,,,,,
125,cajun_creole,spice,0.870588698,,,,,,,,,
126,cajun_creole,kidney,0.859091316,,,,,,,,,
127,cajun_creole,evaporated,0.854196743,,,,,,,,,
128,cajun_creole,bay,0.843826037,,,,,,,,,
129,cajun_creole,tabasco,0.836119608,,,,,,,,,
130,cajun_creole,worcestershire,0.831182539,,,,,,,,,
131,cajun_creole,provolone,0.831172616,,,,,,,,,
132,cajun_creole,diced,0.827340959,,,,,,,,,
133,cajun_creole,green,0.824460917,,,,,,,,,
134,cajun_creole,rotel,0.816650219,,,,,,,,,
135,cajun_creole,pecan,0.806237678,,,,,,,,,
136,cajun_creole,rice,0.798352004,,,,,,,,,
137,cajun_creole,giblet,0.790549373,,,,,,,,,
138,cajun_creole,liver,0.766608127,,,,,,,,,
139,cajun_creole,paprika,0.752504857,,,,,,,,,
140,cajun_creole,grease,0.751860005,,,,,,,,,
141,cajun_creole,sack,-0.745987261,,,,,,,,,
142,cajun_creole,breadcrumb,-0.756341134,,,,,,,,,
143,cajun_creole,soy,-0.815829832,,,,,,,,,
144,cajun_creole,baked,-0.81797388,,,,,,,,,
145,cajun_creole,pea,-0.827899151,,,,,,,,,
146,cajun_creole,clam,-0.926000909,,,,,,,,,
147,cajun_creole,cheddar,-0.981858153,,,,,,,,,
148,cajun_creole,carrot,-1.058862501,,,,,,,,,
149,cajun_creole,curry,-1.07547626,,,,,,,,,
150,chinese,szechwan,2.647281349,,,,,,,,,
151,chinese,ginger,2.258655385,,,,,,,,,
152,chinese,chinese,2.109810656,,,,,,,,,
153,chinese,mandarin,1.94884036,,,,,,,,,
154,chinese,mein,1.809784586,,,,,,,,,
155,chinese,soy,1.778828664,,,,,,,,,
156,chinese,oil,1.761177335,,,,,,,,,
157,chinese,shaoxing,1.703223134,,,,,,,,,
158,chinese,hoisin,1.677978578,,,,,,,,,
159,chinese,five,1.614850071,,,,,,,,,
160,chinese,fermented,1.500270521,,,,,,,,,
161,chinese,cornflour,1.43669233,,,,,,,,,
162,chinese,custard,1.411852361,,,,,,,,,
163,chinese,wrapper,1.319070844,,,,,,,,,
164,chinese,sauce,1.289920922,,,,,,,,,
165,chinese,yardlong,1.285246707,,,,,,,,,
166,chinese,starch,1.261256361,,,,,,,,,
167,chinese,pea,1.253911685,,,,,,,,,
168,chinese,duck,1.211850989,,,,,,,,,
169,chinese,corn,1.207812669,,,,,,,,,
170,chinese,broccoli,1.183526292,,,,,,,,,
171,chinese,wonton,1.165332749,,,,,,,,,
172,chinese,chow,1.0591979,,,,,,,,,
173,chinese,green,1.059030048,,,,,,,,,
174,chinese,oyster,1.058057952,,,,,,,,,
175,chinese,popcorn,1.02213865,,,,,,,,,
176,chinese,chestnut,1.011334419,,,,,,,,,
177,chinese,maggi,1.003359789,,,,,,,,,
178,chinese,chinkiang,0.986100546,,,,,,,,,
179,chinese,essence,0.981462834,,,,,,,,,
180,chinese,winter,0.981057052,,,,,,,,,
181,chinese,snapper,0.949448842,,,,,,,,,
182,chinese,choy,0.945813041,,,,,,,,,
183,chinese,pineapple,0.937350484,,,,,,,,,
184,chinese,scallion,0.93242949,,,,,,,,,
185,chinese,tofu,0.921507902,,,,,,,,,
186,chinese,glutinous,0.887375633,,,,,,,,,
187,chinese,gochujang,-0.893848306,,,,,,,,,
188,chinese,syrup,-0.894804322,,,,,,,,,
189,chinese,cauliflower,-0.91003103,,,,,,,,,
190,chinese,dashi,-0.949873028,,,,,,,,,
191,chinese,chilies,-0.957763661,,,,,,,,,
192,chinese,kimchi,-1.006028213,,,,,,,,,
193,chinese,miso,-1.049269364,,,,,,,,,
194,chinese,lime,-1.090105392,,,,,,,,,
195,chinese,nori,-1.124589088,,,,,,,,,
196,chinese,butter,-1.297144026,,,,,,,,,
197,chinese,fish,-1.316351879,,,,,,,,,
198,chinese,bay,-1.578224784,,,,,,,,,
199,chinese,mirin,-1.720977932,,,,,,,,,
200,filipino,calamansi,2.404943473,,,,,,,,,
201,filipino,lumpia,1.734427701,,,,,,,,,
202,filipino,soy,1.63268297,,,,,,,,,
203,filipino,garlic,1.486171851,,,,,,,,,
204,filipino,edam,1.437116658,,,,,,,,,
205,filipino,dog,1.409102801,,,,,,,,,
206,filipino,sprite,1.38144341,,,,,,,,,
207,filipino,peppercorn,1.351901211,,,,,,,,,
208,filipino,mussel,1.213372483,,,,,,,,,
209,filipino,oil,1.192295935,,,,,,,,,
210,filipino,tilapia,1.183444283,,,,,,,,,
211,filipino,annatto,1.179714687,,,,,,,,,
212,filipino,patis,1.154039845,,,,,,,,,
213,filipino,coconut,1.125955499,,,,,,,,,
214,filipino,accent,1.117299346,,,,,,,,,
215,filipino,cheddar,1.083091423,,,,,,,,,
216,filipino,plantain,1.069020713,,,,,,,,,
217,filipino,cooking,1.068381238,,,,,,,,,
218,filipino,rom,1.032325728,,,,,,,,,
219,filipino,cantaloupe,0.976889485,,,,,,,,,
220,filipino,jackfruit,0.975604993,,,,,,,,,
221,filipino,glutinous,0.964439109,,,,,,,,,
222,filipino,papaya,0.961107309,,,,,,,,,
223,filipino,wrapper,0.95064877,,,,,,,,,
224,filipino,evaporated,0.937942111,,,,,,,,,
225,filipino,thai,0.926442659,,,,,,,,,
226,filipino,ampalaya,0.898434421,,,,,,,,,
227,filipino,belly,0.898228309,,,,,,,,,
228,filipino,fried,0.897051465,,,,,,,,,
229,filipino,tendon,0.893111542,,,,,,,,,
230,filipino,eggplant,0.875979637,,,,,,,,,
231,filipino,base,0.842486253,,,,,,,,,
232,filipino,liver,0.81075951,,,,,,,,,
233,filipino,bitter,0.810602473,,,,,,,,,
234,filipino,shrimp,0.809862889,,,,,,,,,
235,filipino,milkfish,0.802860805,,,,,,,,,
236,filipino,cinnamon,-0.809568107,,,,,,,,,
237,filipino,chopped,-0.816461077,,,,,,,,,
238,filipino,wafer,-0.817250794,,,,,,,,,
239,filipino,sherry,-0.829078471,,,,,,,,,
240,filipino,nutmeg,-0.876559161,,,,,,,,,
241,filipino,medium,-0.886203194,,,,,,,,,
242,filipino,olive,-0.888784732,,,,,,,,,
243,filipino,spray,-0.891235031,,,,,,,,,
244,filipino,wine,-0.912116392,,,,,,,,,
245,filipino,parsley,-0.955494588,,,,,,,,,
246,filipino,sesame,-1.104958034,,,,,,,,,
247,filipino,tea,-1.281407403,,,,,,,,,
248,filipino,basil,-1.287414536,,,,,,,,,
249,filipino,cracked,-1.312575168,,,,,,,,,
250,french,gruyere,2.787124432,,,,,,,,,
251,french,niçoise,2.085416216,,,,,,,,,
252,french,crepe,2.053499431,,,,,,,,,
253,french,gruyère,1.86834868,,,,,,,,,
254,french,swiss,1.778458963,,,,,,,,,
255,french,cognac,1.5940445,,,,,,,,,
256,french,tarragon,1.584070207,,,,,,,,,
257,french,sole,1.557058879,,,,,,,,,
258,french,calvados,1.54334021,,,,,,,,,
259,french,brie,1.490157075,,,,,,,,,
260,french,thyme,1.454216656,,,,,,,,,
261,french,lavender,1.40022948,,,,,,,,,
262,french,duck,1.356187496,,,,,,,,,
263,french,pearl,1.348484383,,,,,,,,,
264,french,prune,1.344713029,,,,,,,,,
265,french,bosc,1.269758211,,,,,,,,,
266,french,roquefort,1.255033479,,,,,,,,,
267,french,shallot,1.246889946,,,,,,,,,
268,french,burgundy,1.244787118,,,,,,,,,
269,french,rouille,1.240208122,,,,,,,,,
270,french,fri,1.173313304,,,,,,,,,
271,french,dijon,1.165603577,,,,,,,,,
272,french,framboise,1.155808189,,,,,,,,,
273,french,pastis,1.12106827,,,,,,,,,
274,french,frisee,1.097837507,,,,,,,,,
275,french,savory,1.055605234,,,,,,,,,
276,french,kalamata,1.054815199,,,,,,,,,
277,french,chambord,1.031365338,,,,,,,,,
278,french,tapenade,1.025833254,,,,,,,,,
279,french,blanc,1.025349601,,,,,,,,,
280,french,snail,1.019081411,,,,,,,,,
281,french,wine,1.017687437,,,,,,,,,
282,french,gras,1.009205352,,,,,,,,,
283,french,shiitake,-1.017676432,,,,,,,,,
284,french,mexican,-1.064293631,,,,,,,,,
285,french,condensed,-1.065943778,,,,,,,,,
286,french,pappardelle,-1.067307877,,,,,,,,,
287,french,sweet,-1.073030828,,,,,,,,,
288,french,chilies,-1.098696308,,,,,,,,,
289,french,linguine,-1.135168922,,,,,,,,,
290,french,buttermilk,-1.144837559,,,,,,,,,
291,french,stilton,-1.150098316,,,,,,,,,
292,french,wafer,-1.177920929,,,,,,,,,
293,french,cinnamon,-1.182844801,,,,,,,,,
294,french,powder,-1.287712193,,,,,,,,,
295,french,custard,-1.290056563,,,,,,,,,
296,french,chard,-1.303174483,,,,,,,,,
297,french,rice,-1.338325309,,,,,,,,,
298,french,oil,-1.398152434,,,,,,,,,
299,french,prosciutto,-1.659362798,,,,,,,,,
300,greek,feta,3.254725288,,,,,,,,,
301,greek,greek,2.475672378,,,,,,,,,
302,greek,phyllo,2.461198165,,,,,,,,,
303,greek,oregano,2.379141402,,,,,,,,,
304,greek,lamb,1.782203095,,,,,,,,,
305,greek,dill,1.656112339,,,,,,,,,
306,greek,yogurt,1.596862594,,,,,,,,,
307,greek,ouzo,1.52491873,,,,,,,,,
308,greek,olive,1.518711895,,,,,,,,,
309,greek,bulgur,1.493114079,,,,,,,,,
310,greek,kalamata,1.465626307,,,,,,,,,
311,greek,tahini,1.395458164,,,,,,,,,
312,greek,orzo,1.380902367,,,,,,,,,
313,greek,pita,1.219935279,,,,,,,,,
314,greek,kasseri,1.219547403,,,,,,,,,
315,greek,flatbread,1.189529989,,,,,,,,,
316,greek,lemon,1.188616459,,,,,,,,,
317,greek,cucumber,1.165631865,,,,,,,,,
318,greek,hummus,1.123333479,,,,,,,,,
319,greek,tzatziki,1.046180428,,,,,,,,,
320,greek,eggplant,1.010591388,,,,,,,,,
321,greek,strong,0.981667486,,,,,,,,,
322,greek,roe,0.937387284,,,,,,,,,
323,greek,cinnamon,0.923342844,,,,,,,,,
324,greek,filo,0.919694428,,,,,,,,,
325,greek,garbanzo,0.9113732,,,,,,,,,
326,greek,sundried,0.875744777,,,,,,,,,
327,greek,spread,0.873254396,,,,,,,,,
328,greek,chevre,0.848041539,,,,,,,,,
329,greek,walnut,0.840580462,,,,,,,,,
330,greek,mint,0.822725131,,,,,,,,,
331,greek,tarama,0.817082658,,,,,,,,,
332,greek,mullet,0.809422615,,,,,,,,,
333,greek,vidalia,-0.804828429,,,,,,,,,
334,greek,chile,-0.824795811,,,,,,,,,
335,greek,spice,-0.83011502,,,,,,,,,
336,greek,cabbage,-0.872685523,,,,,,,,,
337,greek,sourdough,-0.873337678,,,,,,,,,
338,greek,ice,-0.876776502,,,,,,,,,
339,greek,tagliatelle,-0.877900183,,,,,,,,,
340,greek,mozzarella,-0.895371783,,,,,,,,,
341,greek,baguette,-0.934905669,,,,,,,,,
342,greek,bacon,-0.948246238,,,,,,,,,
343,greek,cheddar,-0.977694894,,,,,,,,,
344,greek,sugar,-0.982659777,,,,,,,,,
345,greek,salmon,-0.995036375,,,,,,,,,
346,greek,cumin,-1.077754693,,,,,,,,,
347,greek,orecchiette,-1.24216848,,,,,,,,,
348,greek,ginger,-1.409134227,,,,,,,,,
349,greek,cilantro,-2.249589921,,,,,,,,,
350,indian,curry,3.258223703,,,,,,,,,
351,indian,masala,2.358887605,,,,,,,,,
